,Airline,Day,Date,Departure,Arrival,Duration,Source,Destination,Stops,Fare
0,Air Asia,Mon, 1 Nov,21:25,06:45,9h 20m,New Delhi,Mumbai,1,5953
1,Air Asia,Mon, 1 Nov,21:25,07:15,9h 50m,New Delhi,Mumbai,1,5953
2,Air Asia,Mon, 1 Nov,20:45,06:45,10h 00m,New Delhi,Mumbai,1,5953
3,Air Asia,Mon, 1 Nov,20:45,07:15,10h 30m,New Delhi,Mumbai,1,5953
4,Air Asia,Mon, 1 Nov,18:35,06:45,12h 10m,New Delhi,Mumbai,1,5953
5,Air Asia,Mon, 1 Nov,18:35,07:15,12h 40m,New Delhi,Mumbai,1,5953
6,Air Asia,Mon, 1 Nov,22:10,12:25,14h 15m,New Delhi,Mumbai,1,5953
7,Go First,Mon, 1 Nov,07:00,09:10,2h 10m,New Delhi,Mumbai,Non,5954
8,Go First,Mon, 1 Nov,08:00,10:10,2h 10m,New Delhi,Mumbai,Non,5954
9,Go First,Mon, 1 Nov,22:30,00:40,2h 10m,New Delhi,Mumbai,Non,5954
10,Go First,Mon, 1 Nov,02:40,04:55,2h 15m,New Delhi,Mumbai,Non,5954
11,Go First,Mon, 1 Nov,14:20,16:35,2h 15m,New Delhi,Mumbai,Non,5954
12,Go First,Mon, 1 Nov,19:40,21:55,2h 15m,New Delhi,Mumbai,Non,5954
13,Go First,Mon, 1 Nov,21:00,23:15,2h 15m,New Delhi,Mumbai,Non,5954
14,Go First,Mon, 1 Nov,10:30,12:50,2h 20m,New Delhi,Mumbai,Non,5954
15,Go First,Mon, 1 Nov,15:00,17:30,2h 30m,New Delhi,Mumbai,Non,5954
16,Go First,Mon, 1 Nov,17:55,20:25,2h 30m,New Delhi,Mumbai,Non,5954
17,Go First,Mon, 1 Nov,06:00,10:40,4h 40m,New Delhi,Mumbai,1,5954
18,Go First,Mon, 1 Nov,15:30,21:25,5h 55m,New Delhi,Mumbai,1,5954
19,Go First,Mon, 1 Nov,11:50,18:10,6h 20m,New Delhi,Mumbai,1,5954
20,Go First,Mon, 1 Nov,06:00,12:30,6h 30m,New Delhi,Mumbai,1,5954
21,Go First,Mon, 1 Nov,09:00,15:55,6h 55m,New Delhi,Mumbai,1,5954
22,Vistara,Mon, 1 Nov,06:00,08:00,2h 00m,New Delhi,Mumbai,Non,5955
23,Air India,Mon, 1 Nov,07:00,09:05,2h 05m,New Delhi,Mumbai,Non,5955
24,IndiGo,Mon, 1 Nov,06:30,08:40,2h 10m,New Delhi,Mumbai,Non,5955
25,IndiGo,Mon, 1 Nov,07:15,09:25,2h 10m,New Delhi,Mumbai,Non,5955
26,Air India,Mon, 1 Nov,08:00,10:10,2h 10m,New Delhi,Mumbai,Non,5955
27,IndiGo,Mon, 1 Nov,08:10,10:20,2h 10m,New Delhi,Mumbai,Non,5955
28,Vistara,Mon, 1 Nov,09:30,11:40,2h 10m,New Delhi,Mumbai,Non,5955
29,Air India,Mon, 1 Nov,10:40,12:50,2h 10m,New Delhi,Mumbai,Non,5955
30,Vistara,Mon, 1 Nov,12:50,15:00,2h 10m,New Delhi,Mumbai,Non,5955
31,Vistara,Mon, 1 Nov,15:30,17:40,2h 10m,New Delhi,Mumbai,Non,5955
32,Vistara,Mon, 1 Nov,16:55,19:05,2h 10m,New Delhi,Mumbai,Non,5955
33,IndiGo,Mon, 1 Nov,17:15,19:25,2h 10m,New Delhi,Mumbai,Non,5955
34,Vistara,Mon, 1 Nov,19:50,22:00,2h 10m,New Delhi,Mumbai,Non,5955
35,Vistara,Mon, 1 Nov,21:40,23:50,2h 10m,New Delhi,Mumbai,Non,5955
36,IndiGo,Mon, 1 Nov,23:15,01:25,2h 10m,New Delhi,Mumbai,Non,5955
37,IndiGo,Mon, 1 Nov,01:05,03:20,2h 15m,New Delhi,Mumbai,Non,5955
38,SpiceJet,Mon, 1 Nov,07:20,09:35,2h 15m,New Delhi,Mumbai,Non,5955
